Location Name (District/Upazila),Focal Person,Focal Person Email,Mobile,Lat (Latitude),Long (Longitude),Target Participants,Achieved Participants,Color Code
Dhaka,Md. Abdul Karim,md.abdul.karim@ngo-bd.org,01748291653,23.8103,90.4125,156,136,#FF4136
Gazipur,Fatema Begum,fatemabegum@ngo-bd.org,01776543210,23.9992,90.4203,178,142,#FF4136
Narayanganj,Rahim Uddin Ahmed,rahimuddin.ahmed@ngo-bd.org,01712345678,23.6238,90.5,145,124,#FF4136
Tangail,Sakib Hasan Chowdhury,sakibhasan.chowdhury@ngo-bd.org,01787654321,24.25,89.9167,167,135,#FF4136
Chittagong,Nusrat Jahan,nusratjahan@ngo-bd.org,01723456789,22.3569,91.7832,189,170,#0074D9
Cox's Bazar,Dr. Kamal Hossain,dr.kamalhossain@ngo-bd.org,01734567890,21.4272,92.0058,134,112,#0074D9
Sylhet,Sharmin Akter,sharminakter@ngo-bd.org,01745678901,24.8949,91.8687,156,140,#39CCCC
Rajshahi,Tanvir Rahman,tanvirrahman@ngo-bd.org,01756789012,24.3745,88.6042,167,150,#2ECC40
Khulna,Ayesha Siddiqua,ayeshasiddiqua@ngo-bd.org,01767890123,22.8456,89.5403,178,155,#FF851B
Barisal,Mohammad Ali,mohammadali@ngo-bd.org,01778901234,22.7,90.3667,145,120,#B10DC9
Rangpur,Rabeya Sultana,rabeyasultana@ngo-bd.org,01789012345,25.75,89.25,134,115,#F012BE
Mymensingh,Hasan Mahmud,hasanmahmud@ngo-bd.org,01790123456,24.75,90.4,156,134,#01FF70
Bogra,Farzana Islam,farzanaislam@ngo-bd.org,01701234567,24.85,89.3667,189,162,#2ECC40
Comilla,Jahid Hassan,jahidhassan@ngo-bd.org,01709876543,23.4667,91.1833,167,145,#0074D9
Jessore,Momena Khatun,momenakhatun@ngo-bd.org,01711223344,23.1667,89.2167,145,118,#FF851B
